Scopus refine results values

"Your query : (SOURCE-ID (21100812243))"


Number of results : 613

"OPEN ACCESS",,"YEAR",,"AUTHOR NAME",,"SUBJECT AREA",,"DOCUMENT TYPE",,"PUBLICATION STAGE",,"SOURCE TITLE",,"KEYWORD",,"AFFILIATION",,"FUNDING SPONSOR",,"COUNTRY",,"SOURCE TYPE",,"LANGUAGE",
,,,,"Kumacheva, E.","2",,,,,,,,,"Electron Transport Properties","4","Delft University of Technology","3","David and Lucile Packard Foundation","2",,,,,,
,,,,"Leo, K.","2",,,,,,,,,"Electrons","4","University of California, Irvine","3","Eidgenössische Technische Hochschule Zürich","2",,,,,,
,,,,"Li, X.","2",,,,,,,,,"Engineered Materials","4","Forschungszentrum Jülich FZJ","3","Foundation for the National Institutes of Health","2",,,,,,
,,,,"Lingerfelt, D.B.","2",,,,,,,,,"Fabrication","4","Purdue University","3","Fundamental Research Funds for the Central Universities","2",,,,,,
,,,,"Liu, S.","2",,,,,,,,,"Fabrication Method","4","King's College London","3","Government of Canada","2",,,,,,
,,,,"Lopez, J.","2",,,,,,,,,"Ferroelectric Materials","4","Charles University","3","Higher Education Discipline Innovation Project","2",,,,,,
,,,,"Lottermoser, T.","2",,,,,,,,,"Functional Polymers","4","Xi'an Jiaotong University","3","Juvenile Diabetes Research Foundation International","2",,,,,,
,,,,"Lupini, A.R.","2",,,,,,,,,"Heterojunctions","4","Tianjin University","3","Massachusetts Institute of Technology","2",,,,,,
,,,,"Mankowsky, R.","2",,,,,,,,,"Hydrogels","4","Harbin Institute of Technology","3","Microelectronics Advanced Research Corporation","2",,,,,,
,,,,"Matsiko, A.","2",,,,,,,,,"III-V Semiconductors","4","Agency for Science, Technology and Research, Singapore","3","Ministry of Education and Science of the Russian Federation","2",,,,,,
,,,,"Meinzer, N.","2",,,,,,,,,"Immune System","4","Northeastern University","3","Ministry of Education of the People's Republic of China","2",,,,,,
,,,,"Miara, L.J.","2",,,,,,,,,"Lithium-ion Batteries","4","Ludwig-Maximilians-Universität München","3","Ministry of Science,Technology and Research","2",,,,,,
,,,,"Mooney, D.J.","2",,,,,,,,,"Machine Learning","4","University of Southern California","3","Nanyang Technological University","2",,,,,,
,,,,"Nuckolls, C.","2",,,,,,,,,"Materials Science And Engineering","4","Max Planck Institute for Intelligent Systems","3","National Center of Competence in Research Quantum Science and Technology","2",,,,,,
